label,area,equivalent_diameter,mean_intensity-0,mean_intensity-1,mean_intensity-2,solidity
7,67.0,9.23618154310838,6.701492537313433,38.8955223880597,34.55223880597015,0.6836734693877551
10,2016.0,50.664098947737024,8.620535714285714,48.075892857142854,43.129960317460316,0.5950413223140496
17,948.0,34.74235294865525,6.033755274261603,31.390295358649787,27.411392405063292,0.5798165137614679
24,179.0,15.09668435477122,5.670391061452514,39.35195530726257,33.77653631284916,0.608843537414966
30,58.0,8.593479713983122,3.6206896551724137,32.706896551724135,27.689655172413794,0.8787878787878788
34,2825.0,59.97417539138687,55.018761061946904,55.00849557522124,55.008849557522126,0.9495798319327731
47,51.0,8.058239062071396,1.0196078431372548,28.529411764705884,23.745098039215687,0.7285714285714285
50,3303.0,64.8499052910661,39.24432334241599,54.61883136542537,52.04480775052982,0.770828471411902
54,54.0,8.291859587312052,7.018518518518518,38.574074074074076,34.51851851851852,0.7012987012987013
55,336.0,20.683531783305643,178.3422619047619,177.95238095238096,177.98511904761904,0.6970954356846473
58,233.0,17.22396045987371,5.356223175965665,38.24892703862661,34.39484978540773,0.6005154639175257
61,2707.0,58.70825706489749,34.59549316586627,48.215367565570745,46.07166605097894,0.8454091193004373
63,559.0,26.678472698169138,6.159212880143112,32.9695885509839,29.610017889087658,0.8160583941605839
64,256.0,18.0540666735282,178.48046875,177.80859375,178.1875,0.6432160804020101
68,169.0,14.668929172241665,9.017751479289942,48.30177514792899,42.61538461538461,0.8125
75,2182.0,52.70871547108813,31.456003666361138,43.88359303391384,41.908799266727776,0.8938959442851291
76,124.0,12.565098628628435,4.491935483870968,35.96774193548387,31.016129032258064,0.7701863354037267
78,100.0,11.283791670955125,7.5,42.68,38.81,0.6024096385542169
80,8938.0,106.67809077239284,10.89494294025509,48.223539941821436,43.42805996867308,0.6195328204061828
81,65.0,9.09728368293446,3.6307692307692307,38.96923076923077,32.58461538461538,0.6770833333333334
82,2154.0,52.36943745506095,34.788300835654596,47.87975858867224,45.82544103992572,0.8661037394451147
83,1955.0,49.89171584499017,29.278260869565216,45.8613810741688,43.31150895140665,0.5344450519409514
86,4167.0,72.8394754436866,37.29445644348452,51.35613150947924,49.118310535157185,0.7418550827844045
90,571.0,26.963304323539017,6.3187390542907185,31.768826619964972,27.779334500875656,0.588659793814433
91,84.0,10.341765891652821,4.25,35.714285714285715,30.392857142857142,0.8484848484848485
93,107.0,11.67204486311899,11.813084112149532,49.149532710280376,43.76635514018692,0.9145299145299145
106,127.0,12.716187407449045,5.84251968503937,31.614173228346456,28.708661417322833,0.7341040462427746
112,54.0,8.291859587312052,10.277777777777779,43.666666666666664,38.01851851851852,0.7012987012987013
122,70.0,9.440697438826296,180.4857142857143,177.95714285714286,178.31428571428572,0.9210526315789473
126,322.0,20.248040236149336,177.7111801242236,178.02173913043478,177.972049689441,0.9640718562874252
129,91.0,10.764051215546116,11.538461538461538,50.1978021978022,45.21978021978022,0.8504672897196262
137,5745.0,85.52637712719691,43.58207136640557,61.69677980852916,58.846649260226286,0.6492259012317776
141,546.0,26.366433043273013,8.368131868131869,44.701465201465204,39.734432234432234,0.7510316368638239
143,472.0,24.514670406003766,178.82203389830508,177.92584745762713,178.0593220338983,0.6082474226804123
162,131.0,12.914889870235298,6.206106870229007,37.9236641221374,33.396946564885496,0.8562091503267973
175,132.0,12.964089628857149,78.59848484848484,78.37121212121212,78.37121212121212,0.9705882352941176
176,105.0,11.562445770562215,76.84761904761905,103.4952380952381,99.23809523809524,0.9375
179,248.0,17.769732893161912,94.23790322580645,94.48387096774194,94.44354838709677,0.9501915708812261
182,1754.0,47.25740324505225,21.155074116305588,21.02223489167617,21.009692132269098,0.9663911845730028
183,1279.0,40.35434769286047,68.0625488663018,130.96716184519155,105.13291634089133,0.7510275983558427
185,204.0,16.11647812414279,89.7843137254902,90.95098039215686,90.95098039215686,0.9622641509433962
186,515.0,25.60699837034026,62.79611650485437,120.03883495145631,95.53203883495145,0.9735349716446124
187,499.0,25.206081266687335,76.30861723446894,127.34068136272545,107.20240480961924,0.8708551483420593
192,380.0,21.996159369293583,47.294736842105266,67.99473684210527,59.45789473684211,0.7350096711798839
195,333.0,20.590987552733093,42.43843843843844,70.56156156156156,59.92492492492492,0.8141809290953546
198,524.0,25.829779740470595,33.454198473282446,57.62977099236641,50.24809160305343,0.835725677830941
199,105.0,11.562445770562215,90.0952380952381,89.91428571428571,90.27619047619048,0.9292035398230089
201,271.0,18.575465448360347,5.922509225092251,18.509225092250922,19.380073800738007,0.8162650602409639
202,57.0,8.51907589177983,4.842105263157895,1.5964912280701755,2.473684210526316,0.8507462686567164
203,176.0,14.96964127403822,2.602272727272727,0.8636363636363636,102.23295454545455,0.9617486338797814
206,148.0,13.727325035155395,91.1554054054054,89.37162162162163,88.9054054054054,0.7914438502673797
